,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
1543,Chaayos,Beverages,Seed,215000000,,Provides customised range of tea,2020,2012.0,"Nitin Saluja, Raghav Verma",Think Investment
1544,PetPooja,SaaS,Seed,20000000,Ahmedabad,Restaurant management software provider,2020,2011.0,Apurv Patel,Udaan
1545,Altor,Tech,Seed,0,,Makes helmets that are IoT and AI enabled,2020,0.0,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts
1546,Pepperfry,E-market,Series F,400000000,Mumbai,Online home furniture marketplace,2020,2013.0,"Ambareesh Murty, Ashish Shah",Pidilite Industries
1547,FirstCry,E-market,Series E,2960000000,Pune,Baby products marketplace,2020,2010.0,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund
1548,Byju,Edtech,Seed,2000000000,,Provides online learning classes,2020,2011.0,Byju Raveendran,General Atlantic
1549,Waycool,Agritech,Series C,320000000,Chennai,Food development and distribution services,2020,2015.0,Karthick Jayraman and Sanjay Dasari,LightBox Ventures
1550,WorkIndia,HR tech,Seed,60000000,,An online and mobile-based platform that connects companies with blue collar employees.,2020,0.0,Kunal Patil,Xiaomi
1551,Qyuki,Media,Seed,35000000,Mumbai,Multi-channel broadcast network,2020,0.0,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund
1552,Leap India,Agritech,Series B,300000000,Coimbatore,Agricultural warehousing and logistics company,2020,0.0,Narain Karthikeyan.,Neev Fund
1553,Picxy,Media,Seed,2500000,Hyderabad,Stock photo industry,2020,0.0,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan"
1554,Krimanshi,Agritech,Seed,200000,Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,2020,0.0,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet
1555,NEETprep,Edtech,Seed,0,Delhi,Provides crash course for NEET preparation,2020,0.0,Kapil Gupta,IndiaQuotient
1556,Dot Pvt. Ltd,Fintech,Seed Round,80000000,Gurugram,It provides digital transformation and commerce solutions to brick and mortar outlets,2020,0.0,Shailaz Nag,"PayU, Fosun RZ Capital"
1557,Kuku FM,Media,Series A,55000000,Mumbai,A podcast platform,2020,0.0,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures
1558,SuperMoney,Fintech,Pre series A,10000000,Mumbai,Provides financial tools for effective business making,2020,2018.0,Nikhil Banerjee,Unitus Ventures.
1559,Rebel Foods,Food tech,Seed,49000000,,It runs internet kitchen,2020,0.0,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital
1560,AlphaVector,E tailor,Seed,0,Bangalore,It sells modern age bicycles named FROG,2020,2015.0,Sachin Chopra,"Avaana Capital, Titan Capital"
1561,Fox Capital,Fintech,Seed,25000000,Jaipur,Digital lending startup,2020,2019.0,Rakesh Sharma,Institutional Investors
1562,Tribe Theory,Accomodation,Seed,35000000,Bangalore,An entrepreneur-focused hostel chain present in multiple locations across the world.,2020,0.0,Katie Russel and Daniel Wiegand,Tim Draper
1563,Fleetx,SaaS,Series A,14024000,,Fleet management and predictive analytics platform,2020,0.0,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext
1564,Embibe,Edtech,Seed,126183000,Mumbai,It provides AI-based data analytics to personalise learning outcomes,2020,0.0,Aditi Avasthi,Reliance Industries Limited (RIL)
1565,Entri,Edtech,Seed Round,14000000,Kochi,It is a app that provides different types of learning content in local languages,2020,2017.0,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital
1566,Oye! Rickshaw,E-mobility,Series A,100000000,,App-based electric rickshaw hailing service,2020,0.0,Akash Deep,Chiratae Ventures
1567,Seal Professional,Edtech,Pre series A,0,Bangalore,Trains students in managemnt and leadership skills and also helps in placement,2020,2012.0,,Equanimity Ventures
1568,Sprinng Foods,Food,Seed,0,Mumbai,Provides Gluten-free food,2020,0.0,Tarun Khanna,"Mistletoe, Info Edge Asia"
1569,1MG,Healthtech,Seed,99000000,Gurugram,Online pharmacy,2020,2015.0,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation
1570,Aagey,Fintech,Seed,0,Bangalore,Provides financial assistance to MSMEs,2020,0.0,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain"
1571,Doubtnut,Edtech,Series A,150000000,Gurugram,Multi-lingual digital solutions platform for students,2020,2017.0,"Tanushri Nagori, Aditya Shankar",Tencent
1572,AdonMo,Ad-tech,Seed,30000000,Bangalore,It is an online and outdoor advertising company,2020,2017.0,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial
1573,RACEnergy,E-mobility,Seed Round,0,,It builds electric vehicles and supporting infrastructure,2020,2018.0,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures"
1574,BharatPe,Fintech,Seed,1000000000,Delhi,Digital payments platform,2020,2018.0,Ashneer Grover,Coatue Management
1575,Kisan Network,Agritech,Seed Round,30000000,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020,2015.0,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira
1576,Vogo,Automotive,Series C,350000000,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,2016.0,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada
1577,Yolo,Transport,Seed Round,6000000,Gurugram,Intercity transportation startup,2020,2019.0,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed
1578,Unotech,SaaS,Seed,20000000,Mumbai,It develops fully-customisable open source software,2020,2011.0,Vikash Jha,Manish Choksi
1579,Zetwerk,Marketplace,Seed,22000000,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020,2018.0,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital
1580,CureSkin,Healthtech,Seed,5000000,Bangalore,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,2020,2017.0,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures
1581,WizKlub,Edtech,Seed Funding,9825300,Bangalore,Helps students solve problems at complex level,2020,2018.0,Amit Bansal,Incubate Fund India
1582,Interviewbit,Edtech,Series A,2000000000,Pune,Platform that provides coding and interview preparation course by industry professionals from tech companies,2020,2014.0,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)"
1583,MoneyTap,Fintech,Series B,701852000,,App-based consumer credit line that gives customers access to credit on tap.,2020,2016.0,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India"
1584,Uniplatform Tech,SaaS,Seed,0,Delhi,Runs real estate SaaS platform MultiplyMyLeads.com.,2020,2015.0,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP"
1585,INdwealth,Fintech,Series C,120000000,Gurugram,An Artificial Intelligence and Machine learning based wealth management platform,2020,0.0,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners"
1586,Bizongo,Marketplace,Series C,300000000,Mumbai,A B2B marketplace for packaging materials,2020,2015.0,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq
1587,AppsFlyer,SaaS,Series D,2100000000,Bangalore,Mobile marketing analytics and attribution platform,2020,2011.0,"Oren Kaniel, Reshef Mann",General Atlantic
1588,Digit Insurance,Insurtech,Seed,840000000,Bangalore,General Insurance Company,2020,0.0,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital"
1589,Livspace,Interior Design,Series D,600000000,Bangalore,It offers end-to-end home design experience for homeowners and home designers,2020,2014.0,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment"
1590,GetVantage,Fintech,Seed Round,0,Mumbai,Revenue based finance provider,2020,0.0,Bhavik Vasa,"Samyakth Capital, Venture Catalysts"
1591,Konfinity,Edtech,Seed,0,Noida,Provides online coding courses,2020,2018.0,"Navratn Singh, Kamal Pandey",Angel investors
1592,Pine Labs,Fintech,Seed,0,Noida,Retail payment and hardware company,2020,0.0,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard
1593,Instoried,SaaS,Seed,0,Delhi,Augmented writing platform which improves customer interest and engagement.,2020,0.0,Sharmin Ali,"SOSV, Chinaccelerator"
1594,Nupay,Neo-banking,Seed,0,Haryana,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",2020,0.0,"Neeraj Singh, Alok Arora",Venture Catalysts
1595,LogiNext,Transport Automation,Series B,390000000,,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020,0.0,"Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital"
1596,Samosa Singh,Food,Series A,27000000,Bangalore,Offers hygienic Indian Snacks,2020,2016.0,"Shikhar Veer Singh, Nidhi Singh",She Capital
1597,Crysta,Healthtech,Pre Series A,14034000,Delhi,Offers diagnostic and screening services with regular counselling and clinical data management,2020,2018.0,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli"
1598,Eupheus Learning,Edtech,Series A,43000000,New Delhi,"Provides technology-led, subscription-based learning solutions to schools",2020,2017.0,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures
1599,Bounce,Automotive and Rentals,Series D,1050000000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital"
1600,Park+,Techonology,Seed,110000000,,It is engaged in bringing digitization in parking,2020,0.0,Amit Lakhotia,"Sequoia Capital, Matrix Partners India"
1601,Goodmylk,Dairy,Seed Round,4000000,Bangalore,Provides Vegan dairy products,2020,2017.0,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest"
1602,SmartKarrot,SaaS,Seed,10000000,,It tracks customers’ real-time digital behaviour,2020,2019.0,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors
1603,Skylo,IoT,Series B,1030000000,,Provides affordable and ever present network that connects machines or sensors,2020,2017.0,Trivedi,SoftBank Group
1604,Tea Trunk,Beverage,Seed,2200000,Goa,Global premium tea brand,2020,2013.0,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors
1605,Zoomcar,Transport & Rentals,Series D,300000000,Bangalore,A car rental service platform,2020,2013.0,"Greg Moran, David Back",Sony Innovation Fund
1606,Mera Cashier,Fintech,Seed Round,2500000,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,2019.0,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal"
1607,Samya AI,SaaS,Seed Round,60000000,,Revenue growth AI startup in the consumer packed goods (CPG) space,2020,2019.0,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India
1608,Kristal AI,AI,Series A,60000000,,Provides Algorithm-based financial services,2020,2016.0,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures
1609,Invento Robotics,AI Robotics,Seed Round,2813000,,Known for Mitra Series of Robots,2020,0.0,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund"
1610,Zimyo,HR tech,Seed,0,Gurugram,Automates everyday HR processes with integrated solutions,2020,2018.0,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (YAN)
1611,Sabse Sasta Dukaan,Pharmaceutical,Seed,0,Kolkata,Online pharmacy dealing in medicines,2020,2016.0,"Anish Agarwal, Anant Jain",Angel investors
1612,Fitphilia,Healthtech,Seed,0,Mumbai,Provides IoT-enabled treadmill,2020,0.0,Nirav Patil,Angel investors
1613,Medicus,Healthtech,Seed,127000,Mumbai,AI-based platform that explains and interprets blood tests and medical reports,2020,0.0,"Bhavesh Shah, Manav Shah",Angel investors
1614,Monech,Fintech,Seed Round,127000,Mumbai,Automated platform which will help users to take their financial decisions,2020,0.0,,Angel investors
1615,Teach Us,Edtech,Seed Round,127000,,Educational portal which enables the students to access information related to education at one common platform,2020,0.0,,Angel investors
1616,Dealberg,B2B marketplace,Seed,0,Bangalore,Deals in office supplies,2020,0.0,Abhishek Emmanuel,Undisclosed
1617,Phenom People,HR tech,Series C,300000000,,It redefines the means to search for a job and recruit top talent,2020,2010.0,Mahe Bayireddi,WestBridge Capital
1618,Extra Edge,Edtech,Pre Series A,7000000,Pune,Admission Marketing Automation software for the education industry,2020,0.0,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network"
1619,Capital Quotient,Fintech,Seed,6000000,Bangalore,Investment advisor,2020,2016.0,Sousthav Chakrabarty,Undisclosed
1620,Karfa,Ecommerce,Seed Round,250000,Delhi,It sells products crafted by artisans,2020,0.0,Kartikeya Goel,Undisclosed
1621,Gamerji,Gaming,Seed,4000000,,Esports tournament platform,2020,2019.0,"Soham Thacker, Varun Gajjar",La Gajjar Group
1622,Bounce,Automotive and Rentals,Series D,975000000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital"
1623,Zinier,Automation,Series C,900000000,Bangalore,Provides intelligent field service automation,2020,2015.0,Arka Dhar,ICONIQ Capital
1624,ProEves,Preschool Daycare,Seed Round,5070000,Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020,2016.0,"Divya Agarwal, Ketika Kapoor",1Crowd
1625,Toddle,,Seed,0,Bengaluru,Collaboration and productivity platform for teachers across the world,2020,0.0,"Deepanshu Arora, Parita Parekh",Matrix Partners India
1626,Aesthetic Nutrition,Food diet,Pre Series A,0,,Markets and sells chewable dietary supplements,2020,2018.0,Divij Bajaj,DSG Consumer Partners
1627,Capital Float,Fintech,Seed,150000000,Bangalore,Digital lending,2020,2013.0,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners"
1628,Ninjacart,B2B Agritech,Series C,100000000,Bangalore,Online grocery delivery platform,2020,2015.0,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3"
1629,TechnifyBiz,B2B Agritech,Seed Round,20000000,,Online marketplace for non-perishable food items,2020,2017.0,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund"
1630,Wysh,E-connect,Series A,20000000,Hyderabad,Celebrity engagement and wishing platform,2020,2019.0,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital
1631,Keito,AI,Seed Round,1600000,Pune,Enterprise productivity startup,2020,2016.0,Amal PS,Suma Soft Pvt Ltd
1632,Klub,Fintech,Pre seed round,20000000,,Provides growth financing to high-affinity brands,2020,2019.0,"Anurakt Jain, Ishita Verma",Sequoia Surge
1633,Aadhar,Ecommerce,Seed Round,0,Mumbai,Ayurveda wellness and lifestyle consumer brand,2020,2017.0,,"Sprout Venture Partners, JITO Angel Network, LetsVenture"
1634,IncubateHub,Tech hub,Seed,0,Bengaluru,Provides platform for Corporates to connect establish brand presence among innovation community,2020,0.0,Rajiv Mukherjee,Venture Catalysts
1635,Rage Coffee,FMCG,Seed,0,Delhi,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,2020,0.0,Bharat Sethi,Refex Capital
1636,Skilancer,Technology,Seed,0,Noida,Solar module cleaning system [MCS] providers,2020,0.0,Neeraj Kumar,Venture Catalysts
1637,Harappa Education,Edtech,Seed,0,New Delhi,Provides online courses on foundational skills,2020,0.0,Pramath Raj Sinha,James Murdoch-led Lupa Systems
1638,Rheo,Entertainment,Seed,20000000,,Online e-sports streaming and community platform,2020,0.0,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge"
1639,Axio Biosolutions,Medtech,Series B,52000000,Bangalore,Medical device manufacturer,2020,0.0,Leo Mavely,Omidyar Network India
1640,Techbooze,Consultancy,Series A,150000000,,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020,0.0,Mr. Subhashis Kar,Space Capital
1641,PayMart,Fintech,Seed,0,Chandigarh,Provides cardless cash withdrawals through small merchants shops,2020,2015.0,Amit Narang,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network"
1642,Testbook,Edtech,Series B,84000000,,Helps students prepare online for competitive exams,2020,0.0,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar
1643,FabAlley,Ecommerce,Seed,11000000,Noida,Online fashion store,2020,2012.0,"Tanvi Malik, Shivani Poddar.",Trifecta Capital
1644,HaikuJAM,,Seed,34000000,,Creative writing mobile platform,2020,0.0,Neer Sharma,"Lightbox. Social Capital, Dunce Capital"
1645,Mamaearth,Ecommerce,Series A,183000000,,Online baby and mother care brand,2020,0.0,"Ghazal Alagh, Varun Alagh",Sequoia India
1646,Rentomojo,Rental,Seed,20000000,,"Furniture, electronics, and appliance-centric consumer leasing platform",2020,2014.0,Geetansh Bamania,GMO Payment Gateway
1647,Zomato,Foodtech,Seed,1500000000,,Online food delivery and restaurant discovery platform,2020,0.0,Deepinder Goyal,Ant Financial
1648,Byju,Edtech,Seed,2000000000,,Provides online learning classes,2020,2011.0,Byju Raveendran,Tiger Global
1649,Generico,Pharmacy,Seed,14000000,Mumbai,Generic medicine focussed retail chain,2020,0.0,Siddharth Gadia,Alteria Capital
1650,HighRadius,SaaS,Series B,1250000000,Hyderabad,"An AI-based platform, to automate accounts receivables and treasury processes.",2020,2016.0,Sashi Narahari,ICONIQ Capital
1651,Chai Kings,Beverage,Seed,10000000,Chennai,It offers a range of tea in various flavour,2020,0.0,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA)
1652,Rivigo,Logistics,Series F,34000000,Gurugram,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2020,2014.0,"Deepak Garg, Gazal Kalra",Trifecta Capital
1653,BuildPan,SaaS,Seed Round,0,Indore,"It helps developers to test, integrate and deploy apps",2020,2019.0,"Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US"
1654,Shiksha,Edtech,Seed,1810000,,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2020,2008.0,Kanav Sachdeva,Mumbai Angels Network
1655,Super Surfaces,Deisgning,Series A,5000000,Hyderabad,A design solution based company,2020,0.0,Kumar Varma,Vishnu Reddy
1656,Quicko,Taxation,Seed,2800000,Ahmedabad,Online tax planning and filing platform,2020,0.0,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter"
1657,Satin Creditcare,Fintech,Seed,150000000,Gurgaon,A micro finance company,2020,0.0,,Austrian Bank
1658,XpressBees,Logistics,Seed,100000000,,Provides end to end supply chain solutions,2020,2015.0,"Supam Maheshwari, Amitava Saha",Alibaba
1659,FarmERP,Agritech,Series A,0,Pune,Smart agriculture management ERP software platform,2020,2001.0,"Santosh Shinde, Sanjay Borkar",TechnoGen
1660,Wealth Bucket,Fintech,Seed,30000000,,An online platform for mutual fund investments,2020,2018.0,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal"
1661,GoMechanic,Automobile Technology,Series B,147000000,Delhi,Find automobile repair and maintenance service providers,2020,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners"
1662,Fashor,Fashion,Pre Series A,10000000,Chennai,Women’s fashion and apparel,2020,2017.0,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners
1663,Leverage Edu,Edtech,Seed,15000000,Delhi,AI enabled marketplace that provides career guidance,2020,0.0,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures"
1664,EpiFi,Fintech,Seed Round,132000000,,It offers customers with a single interface for all their financial and banking mandates,2020,0.0,"Sujith Narayanan, Sumit Gwalani","Sequoia India, Ribbit Capital"
1665,Purplle,Cosmetics,Seed,80000000,Mumbai,Online makeup and beauty products retailer,2020,2012.0,"Manish Taneja, Rahul Dash",Verlinvest
1666,Shuttl,Transport,Series C,80430000,Delhi,App based bus aggregator serice,2020,2015.0,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.
1667,Pando,Logitech,Series A,90000000,Chennai,Networked logistics management software,2020,2017.0,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures
1668,Unbox Robotics,AI startup,Pre-series A,12000000,Bangalore,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",2021,2019.0,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First"
1669,upGrad,EdTech,,1200000000,Mumbai,UpGrad is an online higher education platform.,2021,2015.0,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management"
1670,Lead School,EdTech,Series D,300000000,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,2021,2012.0,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital"
1671,Bizongo,B2B E-commerce,Series C,510000000,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,2021,2015.0,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital"
1672,FypMoney,FinTech,Seed,20000000,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2021,2021.0,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal"
1673,Urban Company,Home services,,1880000000,New Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021,2014.0,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital
1674,Comofi Medtech,HealthTech,,2000000,Bangalore,Comofi Medtech is a healthcare robotics startup.,2021,2018.0,Gururaj KB,"CIIE.CO, KIIT-TBI"
1675,Qube Health,HealthTech,Pre-series A,0,Mumbai,India's Most Respected Workplace Healthcare Management Company,2021,2016.0,Gagan Kapur,Inflection Point Ventures
1676,Vitra.ai,Tech Startup,,0,Bangalore,Vitra.ai is an AI-based video translation platform,2021,2020.0,Akash Nidhi PS,Inflexor Ventures
1677,Taikee,E-commerce,,10000000,Mumbai,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",2021,2010.0,"Nidhi Ramachandran, Sachin Chhabra",
1678,Fitterfly,HealthTech,Pre-series A,30000000,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",2021,2016.0,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures"
1679,FreeStand,B2B service,,1000000,New Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2021,2017.0,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park"
1680,MyDentalPlan,Helathcare,Seed,7000000,Bangalore,My Dental Plan provides dental care packages and services.,2021,2014.0,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare
1681,Freyr Energy,Renewable Energy,,20000000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2021,2014.0,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners"
1682,DealShare,E-commerce,,90000000,Jaipur,DealShare is a Social Commerce Startup,2021,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital"
1683,Tessolve,Electronics,,400000000,Bangalore,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",2021,1993.0,"P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital
1684,Smart Joules,Renewable Energy,,490000000,New Delhi,Smart Joules is an energy management company.,2021,2014.0,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm"
1685,ORAI,IT startup,Pre-series A,4000000,Bangalore,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,2021,2020.0,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures
1686,ixamBee,EdTech,Seed,3000000,New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,2021,2016.0,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha"
1687,CoinSwitch Kuber,FinTech,Series B,250000000,Bangalore,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,2021,2017.0,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah"
1688,Razorpay,FinTech,Series E,1600000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2021,2014.0,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC"
1689,Uable,EdTech,Seed,0,Bangalore,Uable offers role based programmes to empower children to explore different domains.,2021,2020.0,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia"
1690,ZFW Hospitality,Food & Beverages,Pre-seed,1500000,New Delhi,Creating a sustainable and scalable cloud kitchen network.,2021,2015.0,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO"
1691,Optimized Electrotech,Aeorspace,Pre-series A,18000000,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021,2017.0,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL
1692,Northern Arc,FinTech,,50000000,Chennai,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,2021,2008.0,Kshama Fernandes,"Kotak Mahindra Bank, FMO"
1693,Chara,Deep Tech,Seed,8500000,Bangalore,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2021,2019.0,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital
1694,Sirona Hygiene,HealthTech,Series A,30000000,New Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,2021,2015.0,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund"
1695,Pristyn Care,HealthTech,Series D,530000000,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,2021,2018.0,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures"
1696,TrulyMadly,Dating,Pre-series A,20000000,New Delhi,Trulymadly is a dating platform that uses a match making algorithm.,2021,2013.0,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor"
1697,Vidyakul,EdTech,Seed,5000000,,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,2021,2018.0,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV"
1698,Jambox Games,Gaming,Seed,11000000,Bangalore,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",2021,2021.0,Ravi Vyas,
1699,Miko,Robotics,,60000000,Mumbai,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",2021,2015.0,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital"
1700,SuperK,Retail,Seed,8000000,"Small Towns, Andhra Pradesh",SuperK is a full-stack solution to empower small format retail stores in India.,2021,2019.0,Neeraj Menta,STRIVE VC
